# R = 8
# J = 1
# Q2 = 3
# Q4 = 0
# T = 8
# pdel = 0.5
# rho	rho_sq	N1_tau	N1_tau_sq	N2_tau	N2_tau_sq
0.6	0.36	0.72	0.5184	0	0	
0.93	0.8649	0.775	0.600625	-0.08	0.0064	
0.97	0.9409	0.87	0.7569	0.035	0.001225	
0.99	0.9801	0.905	0.819025	0.065	0.004225	
1	1	0.945	0.893025	0.115	0.013225	
1	1	0.965	0.931225	0.165	0.027225	
1	1	0.975	0.950625	0.19	0.0361	
